Term,P_value,Adj_P_value,Genes,Gene_Count
ECM-receptor interaction,1.0437395527672543e-10,4.1749582110690175e-09,"['VTN', 'COL1A2', 'TNXB', 'COL2A1', 'COL4A2', 'COL6A1', 'COL6A3', 'HSPG2']",8
Protein digestion and absorption,3.741467401285019e-10,7.482934802570038e-09,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL5A2', 'COL12A1', 'COL6A1', 'COL6A3']",8
Focal adhesion,1.2580523774359956e-06,1.677403169914661e-05,"['VTN', 'COL1A2', 'TNXB', 'COL2A1', 'COL4A2', 'COL6A1', 'COL6A3']",7
Complement and coagulation cascades,3.6233335068153487e-06,3.6233335068153484e-05,"['C3', 'VTN', 'FGG', 'CFB', 'C2']",5
Human papillomavirus infection,3.275482898493282e-05,0.00026203863187946257,"['VTN', 'COL1A2', 'TNXB', 'COL2A1', 'COL4A2', 'COL6A1', 'COL6A3']",7
PI3K-Akt signaling pathway,5.01480531099617e-05,0.0003343203540664114,"['VTN', 'COL1A2', 'TNXB', 'COL2A1', 'COL4A2', 'COL6A1', 'COL6A3']",7
Staphylococcus aureus infection,0.00013532646899696508,0.0007732941085540862,"['C3', 'FGG', 'CFB', 'C2']",4
Proteoglycans in cancer,0.002429976461814004,0.01214988230907002,"['VTN', 'COL1A2', 'MSN', 'HSPG2']",4
Coronavirus disease,0.003787369149602373,0.016832751776010547,"['C3', 'FGG', 'CFB', 'C2']",4
Legionellosis,0.010757662573506993,0.04303065029402797,"['C3', 'RAB1B']",2
