Term,P_value,Adj_P_value,Genes,Gene_Count
Extracellular Matrix Organization R-HSA-1474244,3.556014352590989e-14,5.8318635382492214e-12,"['TNXB', 'COL14A1', 'COL12A1', 'FGG', 'NID2', 'HSPG2', 'VTN', 'COL1A2', 'COL2A1', 'EFEMP1', 'COL4A2', 'COL5A2', 'COL6A1', 'COL6A3']",14
Collagen Chain Trimerization R-HSA-8948216,3.15526452802741e-13,2.587316912982476e-11,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL12A1', 'COL5A2', 'COL6A1', 'COL6A3']",8
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,1.1066815206567381e-11,6.049858979590169e-10,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL5A2', 'COL12A1', 'COL6A1', 'COL6A3']",8
Collagen Formation R-HSA-1474290,1.2534522849532733e-10,5.13915436830842e-09,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL5A2', 'COL12A1', 'COL6A1', 'COL6A3']",8
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,1.0637555847822203e-08,3.489118318085682e-07,"['COL1A2', 'COL2A1', 'COL4A2', 'COL5A2', 'COL6A1', 'COL6A3']",6
Integrin Cell Surface Interactions R-HSA-216083,3.249884370062581e-05,0.0008883017278171054,"['VTN', 'COL4A2', 'FGG', 'HSPG2']",4
Activation Of C3 And C5 R-HSA-174577,0.00011059129575543731,0.002590996071984531,"['C3', 'CFB']",2
NCAM1 Interactions R-HSA-419037,0.00014309650683996561,0.002933478390219295,"['COL4A2', 'COL6A1', 'COL6A3']",3
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,0.00019479869188062542,0.0033865483481477885,"['COL1A2', 'COL4A2', 'ALB']",3
Post-translational Protein Phosphorylation R-HSA-8957275,0.0002064968504968164,0.0033865483481477885,"['C3', 'ALB', 'FGG', 'CP']",4
Regulation Of Complement Cascade R-HSA-977606,0.00025729608050495596,0.0038360506548011613,"['C3', 'VTN', 'CFB']",3
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,0.0003645679633982749,0.004982428833109756,"['C3', 'ALB', 'FGG', 'CP']",4
Signaling By PDGF R-HSA-186797,0.0003953067687192971,0.0049869469284588245,"['COL4A2', 'COL6A1', 'COL6A3']",3
Complement Cascade R-HSA-166658,0.0004665431530533366,0.00510087180671648,"['C3', 'VTN', 'CFB']",3
ECM Proteoglycans R-HSA-3000178,0.0004665431530533366,0.00510087180671648,"['VTN', 'TNXB', 'HSPG2']",3
NCAM Signaling For Neurite Out-Growth R-HSA-375165,0.0005183200010840638,0.005312780011111654,"['COL4A2', 'COL6A1', 'COL6A3']",3
Scavenging By Class A Receptors R-HSA-3000480,0.0012321620650803107,0.011886739921951233,"['COL1A2', 'COL4A2']",2
Initial Triggering Of Complement R-HSA-166663,0.001507858208877355,0.013738263680882568,"['C3', 'CFB']",2
Laminin Interactions R-HSA-3000157,0.0016557246776615132,0.014291518270341483,"['HSPG2', 'NID2']",2
Molecules Associated With Elastic Fibres R-HSA-2129379,0.0026808978945138846,0.02198336273501385,"['VTN', 'EFEMP1']",2
Degradation Of Extracellular Matrix R-HSA-1474228,0.003362424143753671,0.026258931408362,"['COL14A1', 'COL12A1', 'HSPG2']",3
Platelet Degranulation R-HSA-114608,0.004934429808427815,0.03585499820039599,"['APOH', 'ALB', 'FGG']",3
Elastic Fibre Formation R-HSA-1566948,0.005154762512853004,0.03585499820039599,"['VTN', 'EFEMP1']",2
Collagen Degradation R-HSA-1442490,0.005416545994675769,0.03585499820039599,"['COL14A1', 'COL12A1']",2
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,0.005502428267506331,0.03585499820039599,"['APOH', 'ALB', 'FGG']",3
Non-integrin membrane-ECM Interactions R-HSA-3000171,0.005684328982989609,0.03585499820039599,"['VTN', 'HSPG2']",2
