Term,P_value,Adj_P_value,Genes,Gene_Count
extracellular structure organization (GO:0043062),6.941438992742161e-14,1.1260472983350712e-11,"['VTN', 'COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'FGG', 'COL6A1', 'COL5A2', 'COL6A3', 'TGFBI', 'HSPG2', 'NID2']",12
external encapsulating structure organization (GO:0045229),7.33581301846952e-14,1.1260472983350712e-11,"['VTN', 'COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'FGG', 'COL6A1', 'COL5A2', 'COL6A3', 'TGFBI', 'HSPG2', 'NID2']",12
extracellular matrix organization (GO:0030198),1.3374275147384664e-13,1.3686341567490306e-11,"['COL14A1', 'FGG', 'COL12A1', 'HSPG2', 'NID2', 'VTN', 'COL1A2', 'COL2A1', 'COL4A2', 'COL6A1', 'COL5A2', 'COL6A3', 'TGFBI']",13
supramolecular fiber organization (GO:0097435),2.1306741199588747e-11,1.6352923870684363e-09,"['COL1A2', 'COL2A1', 'MYO1C', 'TNXB', 'COL4A2', 'COL14A1', 'COL6A1', 'COL5A2', 'COL12A1', 'COL6A3', 'TGFBI', 'HSPG2']",12
collagen fibril organization (GO:0030199),3.042141740799958e-11,1.8678750288511743e-09,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL6A1', 'COL5A2', 'COL12A1', 'COL6A3']",8
endodermal cell differentiation (GO:0035987),9.170251020869961e-07,4.6921117723451295e-05,"['VTN', 'COL4A2', 'COL12A1', 'COL6A1']",4
endoderm formation (GO:0001706),1.491859809635502e-06,6.542870879401416e-05,"['VTN', 'COL4A2', 'COL12A1', 'COL6A1']",4
regulation of complement activation (GO:0030449),5.694037319250313e-06,0.00021850868212623076,"['C3', 'VTN', 'CFB', 'C2']",4
regulation of immune effector process (GO:0002697),7.202704638335609e-06,0.00023840285892440342,"['C3', 'VTN', 'CFB', 'C2']",4
regulation of humoral immune response (GO:0002920),7.765565437276985e-06,0.00023840285892440342,"['C3', 'VTN', 'CFB', 'C2']",4
"complement activation, alternative pathway (GO:0006957)",0.00011265759512176318,0.002892239323718062,"['C3', 'CFB']",2
negative regulation of blood coagulation (GO:0030195),0.00011305169994989168,0.002892239323718062,"['VTN', 'APOH', 'FGG']",3
positive regulation of apoptotic cell clearance (GO:2000427),0.00014998531968970716,0.003288963796052864,"['C3', 'C2']",2
regulation of apoptotic cell clearance (GO:2000425),0.00014998531968970716,0.003288963796052864,"['C3', 'C2']",2
plasminogen activation (GO:0031639),0.0001925496350829552,0.003940849198031149,"['APOH', 'FGG']",2
negative regulation of hemostasis (GO:1900047),0.0003514248960530942,0.006742965193018745,"['VTN', 'APOH']",2
negative regulation of coagulation (GO:0050819),0.0004830911270410691,0.008724057411859307,"['VTN', 'APOH']",2
negative regulation of blood vessel morphogenesis (GO:2000181),0.0008177608133226347,0.013947364982780493,"['COL4A2', 'APOH', 'HSPG2']",3
eye morphogenesis (GO:0048592),0.0009996316450557327,0.01615194289642684,"['EFEMP1', 'COL5A2']",2
negative regulation of angiogenesis (GO:0016525),0.0011226550779820902,0.017232755447025083,"['COL4A2', 'APOH', 'HSPG2']",3
cell-matrix adhesion (GO:0007160),0.0016765192380744738,0.024509114575660164,"['VTN', 'FGG', 'NID2']",3
regulation of blood coagulation (GO:0030193),0.0018274505833878222,0.025501242231820976,"['VTN', 'APOH']",2
negative regulation of wound healing (GO:0061045),0.002107492123229204,0.028130438340494158,"['VTN', 'APOH']",2
platelet degranulation (GO:0002576),0.0031622571369851952,0.040450539210602286,"['APOH', 'FGG', 'ALB']",3
regulation of receptor-mediated endocytosis (GO:0048259),0.003789402323031178,0.046533860526822866,"['C3', 'VTN']",2
positive regulation of wound healing (GO:0090303),0.003982895320046974,0.04702880243286235,"['VTN', 'APOH']",2
