Term,P_value,Adj_P_value,Genes,Gene_Count
Extracellular Matrix Organization R-HSA-1474244,3.096531827053667e-15,4.551901785768891e-13,"['TNXB', 'COL14A1', 'FGG', 'COL12A1', 'HSPG2', 'NID2', 'VTN', 'COL1A2', 'COL2A1', 'EFEMP1', 'COL4A2', 'COL6A1', 'COL5A2', 'COL6A3']",14
Collagen Chain Trimerization R-HSA-8948216,8.253921465587652e-14,6.0666322772069244e-12,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL12A1', 'COL5A2', 'COL6A1', 'COL6A3']",8
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,2.918827880866029e-12,1.430225661624354e-10,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL6A1', 'COL5A2', 'COL12A1', 'COL6A3']",8
Collagen Formation R-HSA-1474290,3.333142436112823e-11,1.2249298452714623e-09,"['COL1A2', 'COL2A1', 'COL4A2', 'COL14A1', 'COL6A1', 'COL5A2', 'COL12A1', 'COL6A3']",8
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,4.009597699099602e-09,1.178821723535283e-07,"['COL1A2', 'COL2A1', 'COL4A2', 'COL6A1', 'COL5A2', 'COL6A3']",6
Integrin Cell Surface Interactions R-HSA-216083,1.7336190358094388e-05,0.0004247366637733125,"['VTN', 'COL4A2', 'FGG', 'HSPG2']",4
Activation Of C3 And C5 R-HSA-174577,8.059030066108036e-05,0.0016417768546447486,"['C3', 'CFB']",2
NCAM1 Interactions R-HSA-419037,8.934840025277543e-05,0.0016417768546447486,"['COL4A2', 'COL6A1', 'COL6A3']",3
Post-translational Protein Phosphorylation R-HSA-8957275,0.00011156177816742774,0.00179010939783076,"['C3', 'FGG', 'ALB', 'CP']",4
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,0.00012177614951229661,0.00179010939783076,"['COL1A2', 'COL4A2', 'ALB']",3
Regulation Of Complement Cascade R-HSA-977606,0.0001610376351596536,0.0021520483971335528,"['C3', 'VTN', 'CFB']",3
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,0.00019802326916677171,0.0024257850472929536,"['C3', 'FGG', 'ALB', 'CP']",4
Signaling By PDGF R-HSA-186797,0.0002479327649308923,0.0028035474188339363,"['COL4A2', 'COL6A1', 'COL6A3']",3
Complement Cascade R-HSA-166658,0.00029287286273695285,0.0028701540548221383,"['C3', 'VTN', 'CFB']",3
ECM Proteoglycans R-HSA-3000178,0.00029287286273695285,0.0028701540548221383,"['VTN', 'TNXB', 'HSPG2']",3
NCAM Signaling For Neurite Out-Growth R-HSA-375165,0.0003255693913397303,0.0029911687829337723,"['COL4A2', 'COL6A1', 'COL6A3']",3
Scavenging By Class A Receptors R-HSA-3000480,0.000901016066486868,0.007791138927857035,"['COL1A2', 'COL4A2']",2
Initial Triggering Of Complement R-HSA-166663,0.0011032037769524781,0.009009497511778571,"['C3', 'CFB']",2
Laminin Interactions R-HSA-3000157,0.0012117096246851804,0.009374806043616922,"['HSPG2', 'NID2']",2
Molecules Associated With Elastic Fibres R-HSA-2129379,0.001965083370647624,0.014443362774260036,"['VTN', 'EFEMP1']",2
Degradation Of Extracellular Matrix R-HSA-1474228,0.0021447373687835804,0.015013161581485062,"['COL14A1', 'COL12A1', 'HSPG2']",3
Platelet Degranulation R-HSA-114608,0.0031622571369851952,0.021129627233491984,"['APOH', 'FGG', 'ALB']",3
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,0.003531426064479427,0.02257041875993373,"['APOH', 'FGG', 'ALB']",3
Elastic Fibre Formation R-HSA-1566948,0.003789402323031178,0.023210089228565964,"['VTN', 'EFEMP1']",2
Collagen Degradation R-HSA-1442490,0.003982895320046974,0.02341942448187621,"['COL14A1', 'COL12A1']",2
Non-integrin membrane-ECM Interactions R-HSA-3000171,0.004180902298838718,0.02363817838189583,"['VTN', 'HSPG2']",2
Nervous System Development R-HSA-9675108,0.008817210567430914,0.048004813089346086,"['COL4A2', 'COL6A1', 'MSN', 'COL6A3', 'UTRN']",5
