Term,P_value,Adj_P_value,Genes,Gene_Count,Combined_Score
miRNA targets in ECM and membrane receptors WP2911,1.2257797056153216e-14,7.477256204253462e-13,TNXB; COL1A2; COL4A2; COL5A2; COL6A1; FN1; COL6A3,7,9034.81500361298
Human Complement System WP2806,8.285998591625954e-10,2.527229570445916e-08,CFD; C3; VTN; FGG; ALB; CFB; C2,7,979.3099184032285
Focal Adhesion WP306,4.694328805664364e-09,9.545135238184207e-08,VTN; COL1A2; COL2A1; TNXB; COL4A2; COL5A2; FN1; TNC,8,498.85200581357793
PI3K-Akt Signaling Pathway WP4172,1.834208970865439e-08,2.7971686805697947e-07,VTN; COL1A2; COL2A1; TNXB; COL4A2; COL6A1; FN1; TNC; COL6A3,9,306.7002209283964
Complement Activation WP545,9.772705513333525e-08,1.19227007262669e-06,CFD; C3; CFB; C2,4,1986.947931145741
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932,1.2770526600827017e-07,1.29833687108408e-06,VTN; COL1A2; COL2A1; TNXB; COL4A2; COL5A2; FN1; TNC,8,264.5365937015554
Complement and Coagulation Cascades WP558,5.382036485474957e-06,4.6900603659138906e-05,CFD; C3; CFB; C2,4,496.9309152675414
Inflammatory Response Pathway WP453,2.89810533348164e-05,0.00022098053167797505,VTN; COL1A2; FN1,3,625.4573312945759
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678,0.0005204302673761171,0.0032426723366286614,POSTN; TNC,2,529.127179015688
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859,0.0005847441918510701,0.0032426723366286614,FN1; TNC,2,488.3876279088855
Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway WP3670,0.0005847441918510701,0.0032426723366286614,COL2A1; FN1,2,488.3876279088855
TGF-beta Signaling Pathway WP366,0.0023226570411441594,0.011806839959149476,COL1A2; FN1; TNC,3,75.59766002434432
Epithelial to mesenchymal transition in colorectal cancer WP4239,0.00392642392040358,0.018423989164970643,VTN; COL4A2; FN1,3,57.024261480233655
Vitamin B12 Metabolism WP1533,0.004496424806807151,0.019591565229659727,ALB; SOD3,2,117.99765363023795
Folate Metabolism WP176,0.007716343966064588,0.031379798795329324,ALB; SOD3,2,79.59078372846072
Primary Focal Segmental Glomerulosclerosis FSGS WP2572,0.009125768938000465,0.03479199407612677,VTN; UTRN,2,70.23791765035122
Selenium Micronutrient Network WP15,0.012822194254667357,0.04468484518057118,ALB; SOD3,2,54.2552243331824
Allograft Rejection WP2328,0.013686223463598855,0.04468484518057118,C3; C2,2,51.59244243820234
Glial Cell Differentiation WP2276,0.013918230466079547,0.04468484518057118,MSN,1,364.50634834293606
